model,structure,n,seed,cpu_time,wall_time,departures,throughput,L,L_q,W
Feedback3Queue,feedback,3,18,2.90625,2.93293749995064,8100,0.81,4.880649463527754,0.03975489074691667,6.025493164849078
Feedback3Queue,feedback,3,19,2.875,2.9068298999918625,7991,0.7991,4.8398303440532775,0.041161782109583336,6.05660160687433
Feedback3Queue,feedback,3,20,2.890625,2.9675961000612006,7936,0.7936,4.810862756078072,0.04283850943702776,6.062075045461281
Feedback3Queue,feedback,3,21,3.0625,3.073264899896458,7931,0.7931,4.786751256613766,0.036212825526638806,6.0354952170139535
Feedback3Queue,feedback,3,22,2.796875,2.822174899978563,7904,0.7904,4.719135797208923,0.028718040017555534,5.970566545051776
Feedback3Queue,feedback,3,23,2.828125,2.843279599910602,8026,0.8026,4.834983656441595,0.03790783316099995,6.024151079543477
Feedback3Queue,feedback,3,24,2.84375,2.8553954999661073,8047,0.8047,4.823149902014415,0.03797045736494445,5.993724247563583
Feedback3Queue,feedback,3,25,2.671875,2.7111920999595895,7692,0.7692,4.6445556901474,0.03212147833713891,6.03816392374857
Feedback3Queue,feedback,3,26,3.0,3.0212610999587923,7999,0.7999,4.752029131423939,0.03573859408686109,5.94077901165638
Feedback3Queue,feedback,3,27,2.890625,2.9189061999786645,7933,0.7933,4.699924438312023,0.032119263152638834,5.92452343162993
Feedback3Queue,feedback,3,28,2.953125,2.9557553000049666,8002,0.8002,4.811258609379133,0.03679110368444448,6.012570119194118
Feedback3Queue,feedback,3,29,2.859375,2.868847699952312,7958,0.7958,4.764403039246914,0.03555333412277782,5.986935208905396
Feedback3Queue,feedback,3,30,2.9375,2.9762730000074953,8105,0.8105,4.938697116810748,0.04413710389219444,6.093395579038554
Feedback5Queue,feedback,5,1,4.625,4.682794300024398,8029,0.8029,8.039113406776734,0.05927863097647222,10.012596097617056
Feedback5Queue,feedback,5,2,4.546875,4.561621199944057,8014,0.8014,8.068135472952013,0.05993887492316667,10.067551126718259
Feedback5Queue,feedback,5,3,4.359375,4.394857199979015,7906,0.7906,7.940975146222798,0.05900480551305579,10.044238737949403
Feedback5Queue,feedback,5,4,4.53125,4.566236099926755,8007,0.8007,8.092631994542716,0.0565103054498334,10.106946415065213
Feedback5Queue,feedback,5,5,4.34375,4.410770600079559,7862,0.7862,8.07868760928832,0.06463071772058337,10.275613850532078
Feedback5Queue,feedback,5,6,4.421875,4.4942167000845075,8074,0.8074,8.098176889461584,0.06684329206588895,10.029944128637087
Feedback5Queue,feedback,5,7,4.390625,4.425789300003089,8094,0.8094,8.216205977439268,0.06914003864925017,10.150983416653407
Feedback5Queue,feedback,5,8,4.328125,4.426519399974495,8180,0.818,8.217813961096555,0.06556115067294434,10.046227336303858
Feedback5Queue,feedback,5,9,4.390625,4.431401500012726,8152,0.8152,8.112412531655153,0.06030266773733319,9.951438336181493
Feedback5Queue,feedback,5,10,4.625,4.734953099978156,7886,0.7886,7.9667837622227555,0.059713477237666644,10.10243946515693
Feedback5Queue,feedback,5,11,4.75,4.784662600024603,8012,0.8012,8.04737615977373,0.055392364603555413,10.044153968764016
Feedback5Queue,feedback,5,12,4.84375,4.851659899926744,8089,0.8089,8.09571729441633,0.06490516071961114,10.008304233423576
Feedback5Queue,feedback,5,13,4.546875,4.612525400007144,7968,0.7968,8.06894527599262,0.06083650139430555,10.126688348384313
Feedback5Queue,feedback,5,14,4.5,4.5173231000080705,8026,0.8026,8.22485768714037,0.06101598963347226,10.247766866608982
Feedback5Queue,feedback,5,15,4.734375,4.747065200004727,8062,0.8062,8.255356504585059,0.06544350792186118,10.23983689479665
Feedback5Queue,feedback,5,16,4.25,4.268572399974801,7986,0.7986,7.904187153806357,0.06491626470000007,9.897554662918054
Feedback5Queue,feedback,5,17,4.671875,4.6756559999194,7964,0.7964,8.021298419472654,0.06056452329930558,10.071946784872745
Feedback5Queue,feedback,5,18,4.5625,4.5846698000095785,7961,0.7961,7.968056539769877,0.06165942321330549,10.008863886157362
Feedback5Queue,feedback,5,19,4.421875,4.493219000054523,8084,0.8084,8.235384474062627,0.06241615353822215,10.18726431724719
Feedback5Queue,feedback,5,20,4.265625,4.357944200048223,7943,0.7943,7.891706325717247,0.05242130966672236,9.935422794557782
Feedback5Queue,feedback,5,21,4.265625,4.278671099920757,7928,0.7928,7.9641474636354195,0.057198802801222304,10.04559468167939
Feedback5Queue,feedback,5,22,4.28125,4.328564199968241,7861,0.7861,7.930882704647724,0.054062352047083526,10.088897983268952
Feedback5Queue,feedback,5,23,4.40625,4.445556299993768,8008,0.8008,8.036761070204307,0.055889385352666764,10.035915422333051
Feedback5Queue,feedback,5,24,4.40625,4.402854599989951,7887,0.7887,7.94649590633534,0.05292316759438894,10.075435408057995
Feedback5Queue,feedback,5,25,4.203125,4.297802599961869,8092,0.8092,8.16734585128506,0.05559600008741661,10.093111531494142
Feedback5Queue,feedback,5,26,4.203125,4.283231299952604,7988,0.7988,7.923338083522528,0.05749865946663883,9.919051181174922
Feedback5Queue,feedback,5,27,4.390625,4.418239399907179,7998,0.7998,7.984553390823762,0.05274098247794456,9.983187535413556
Feedback5Queue,feedback,5,28,4.75,4.786154099972919,8259,0.8259,8.320204367079668,0.07500381256044432,10.074106268409817
Feedback5Queue,feedback,5,29,4.71875,4.744443399948068,8074,0.8074,8.015846537113726,0.05443683907149996,9.927974408117073
Feedback5Queue,feedback,5,30,4.34375,4.383915400016122,7953,0.7953,7.8255754430404485,0.047185235996972254,9.839777999547904
Feedback10Queue,feedback,10,1,8.5,8.626012700027786,7936,0.7936,15.899309484114331,0.11813480690322217,20.03441215236181
Feedback10Queue,feedback,10,2,7.984375,8.114026300027035,7791,0.7791,15.478428514097171,0.09111076408222245,19.86706265446948
Feedback10Queue,feedback,10,3,8.390625,8.418724299990572,8090,0.809,16.124467479706794,0.11073029399161077,19.931356588018286
Feedback10Queue,feedback,10,4,8.734375,8.76159110001754,8026,0.8026,16.303975186206305,0.1295683986669445,20.31394864964653
Feedback10Queue,feedback,10,5,8.453125,8.51444589998573,8086,0.8086,16.308181556065094,0.13992356362877756,20.16841646804983
Feedback10Queue,feedback,10,6,8.59375,8.678213700070046,8055,0.8055,16.14608242503698,0.12052411521244454,20.044795065222818
Feedback10Queue,feedback,10,7,8.390625,8.531231000088155,8048,0.8048,16.28889127944052,0.1238312272128891,20.239676043042397
Feedback10Queue,feedback,10,8,8.421875,8.499904499971308,8134,0.8134,16.437957195707494,0.12910126588461154,20.208946638440487
Feedback10Queue,feedback,10,9,8.34375,8.449781300034374,7857,0.7857,16.00613724959758,0.10562168166227787,20.371817805266108
Feedback10Queue,feedback,10,10,7.96875,8.127585000009276,7951,0.7951,16.094984165716905,0.11403368686297286,20.242716847839144
Feedback10Queue,feedback,10,11,8.203125,8.293297199998051,8014,0.8014,16.132450397500932,0.11518181358108359,20.130334910782295
Feedback10Queue,feedback,10,12,8.453125,8.573298200033605,7910,0.791,16.18842405369373,0.11500346810322244,20.465769979385247
Feedback10Queue,feedback,10,13,9.171875,9.26409340009559,8118,0.8118,16.528225585883753,0.13913140064649954,20.359972389607975
Feedback10Queue,feedback,10,14,8.34375,8.454978100024164,7962,0.7962,15.927277603828538,0.11969496653508413,20.004116558438252
Feedback10Queue,feedback,10,15,8.625,8.709735400043428,7908,0.7908,15.80969905021601,0.10772775348658296,19.992032182873054
Feedback10Queue,feedback,10,16,8.25,8.426569200004451,7961,0.7961,16.046523171717958,0.12342387220641693,20.156416495060867
Feedback10Queue,feedback,10,17,8.625,8.706235399935395,8150,0.815,16.687614426217564,0.14197970181266648,20.47560052296634
Feedback10Queue,feedback,10,18,8.0625,8.132443699985743,7907,0.7907,15.743214674844966,0.10543075845763862,19.910477646193204
Feedback10Queue,feedback,10,19,8.453125,8.5407798999222,8069,0.8069,16.20852721135726,0.1365551809938331,20.087405144822483
Feedback10Queue,feedback,10,20,8.640625,8.683449100004509,7952,0.7952,15.777879763949532,0.11608460877397277,19.8413980934979
Feedback10Queue,feedback,10,21,8.40625,8.474831799976528,8122,0.8122,16.562023921043718,0.14034677295780557,20.39155863216414
Feedback10Queue,feedback,10,22,8.546875,8.590651299920864,7931,0.7931,16.07245277222437,0.1138850134797227,20.2653546491292
Feedback10Queue,feedback,10,23,8.578125,8.759144700015895,7838,0.7838,15.884089251272837,0.11008758295583275,20.265487689809692
Feedback10Queue,feedback,10,24,8.375,8.52899229992181,8053,0.8053,16.342275705643495,0.13072158718261134,20.29340085141375
Feedback10Queue,feedback,10,25,8.703125,8.769870699965395,7951,0.7951,16.36956101294619,0.13559158944241523,20.58805309136736
Feedback10Queue,feedback,10,26,8.3125,8.449007899966091,8119,0.8119,16.359082554771895,0.11839298098094457,20.149134813119716
Feedback10Queue,feedback,10,27,8.65625,8.785923499963246,8037,0.8037,16.525095816546393,0.151468570553889,20.56127387899265
